embedding_id,cluster,umap_x,umap_y
dataset_ds004475,0,9.041356,3.6554508
dataset_ds004100,0,12.335361,4.542642
dataset_ds005296,0,8.182444,3.4859753
dataset_ds003474,0,10.932855,6.3635187
dataset_ds003682,0,7.480785,4.8465023
dataset_ds005586,0,8.298295,3.338547
dataset_ds005342,0,8.809085,4.413092
dataset_ds002712,0,8.172509,4.557489
dataset_ds004033,0,8.968529,3.7222648
dataset_ds004395,0,9.427774,3.4679108
dataset_ds004024,0,6.905075,5.1022763
dataset_ds006260,0,9.194141,4.349469
dataset_ds004551,0,9.484176,5.325794
dataset_ds001787,0,9.292451,4.457666
dataset_ds004840,0,6.407202,3.631351
dataset_ds000246,0,7.2094097,4.4948287
dataset_ds004256,0,7.5820727,3.7884564
dataset_ds004306,0,8.272842,4.069635
dataset_ds004789,0,9.421977,3.1676276
dataset_ds005087,0,8.742177,2.391341
dataset_ds005565,0,8.099863,3.3358085
dataset_ds005083,0,12.181986,4.3951416
dataset_ds004019,0,9.594044,3.9644217
dataset_ds004660,0,8.833989,5.0060754
dataset_ds004315,0,10.3996725,3.6371174
dataset_ds004252,0,8.68001,3.234117
dataset_ds005398,0,12.6438675,4.408634
dataset_ds003708,0,11.59196,4.21123
dataset_ds001784,0,10.769312,4.4153943
dataset_ds003490,0,9.842573,4.0242305
dataset_ds004381,0,12.019734,4.201177
dataset_ds005873,0,12.316673,4.60752
dataset_ds005169,0,11.527569,4.384919
dataset_ds003380,0,11.019439,4.6765585
dataset_ds003846,0,8.882073,4.2181954
dataset_ds005261,0,7.2499003,4.808806
dataset_ds005512,3,5.014469,7.278805
dataset_ds003825,0,8.349934,3.2782686
dataset_ds004588,0,8.352308,5.008902
dataset_ds002761,0,7.3545246,4.5542016
dataset_ds004040,0,9.066246,4.453504
dataset_ds004107,0,6.8775196,5.0724964
dataset_ds000117,0,8.036423,5.565651
dataset_ds003374,0,10.226343,4.2137737
dataset_ds003751,0,8.240632,4.6155453
dataset_ds003195,0,12.730802,6.6569448
dataset_ds005505,3,5.0401835,7.255437
dataset_ds003078,0,9.165434,5.42126
dataset_ds003523,0,9.779317,4.085465
dataset_ds004194,0,8.878508,3.8996892
dataset_ds004362,0,8.746849,4.3342237
dataset_ds003768,0,9.133951,5.0986624
dataset_ds003638,0,10.435956,4.537128
dataset_ds005345,0,7.77668,4.218999
dataset_ds003509,0,10.367073,3.9349823
dataset_ds004819,0,11.414371,4.3116536
dataset_ds004348,0,9.407395,5.080324
dataset_ds005516,3,5.0283523,7.266748
dataset_ds006065,0,11.73638,4.3024664
dataset_ds005356,0,10.613499,3.1558597
dataset_ds004317,0,10.510724,3.5480106
dataset_ds004483,0,9.046845,1.4761204
dataset_ds005931,0,9.235017,4.1209903
dataset_ds004579,0,9.875458,4.038552
dataset_ds004022,0,8.706795,4.632361
dataset_ds004718,0,7.77538,4.2196956
dataset_ds001785,0,8.883421,4.147535
dataset_ds003670,0,10.928759,4.2060647
dataset_ds005574,0,7.575103,3.9024706
dataset_ds004370,0,11.856921,4.2716
dataset_ds005688,0,11.0976305,4.1975565
dataset_ds005340,0,7.113769,3.225676
dataset_ds004186,3,5.083047,7.2346497
dataset_ds004460,0,8.689378,3.810174
dataset_ds003190,0,8.347677,3.899142
dataset_ds004696,0,11.628677,4.24442
dataset_ds005048,1,8.746337,8.607408
dataset_ds003522,0,9.804486,4.158541
dataset_ds005815,0,8.4030905,4.2030396
dataset_ds004078,0,7.671481,4.355209
dataset_ds002814,0,8.14972,5.3769727
dataset_ds004473,0,9.897811,4.342873
dataset_ds005121,0,9.355463,5.0613775
dataset_ds003194,0,12.755269,6.6080513
dataset_ds005343,0,9.952639,5.015332
dataset_ds005514,3,5.0376773,7.256286
dataset_ds004196,0,7.1565247,3.8470001
dataset_ds004602,2,11.92983,1.8272929
dataset_ds004752,0,9.450232,3.55051
dataset_ds005594,0,8.070919,4.6703095
dataset_ds003690,0,9.398717,4.1255374
dataset_ds002893,0,8.422565,3.8519888
dataset_ds004519,0,8.909892,2.8788445
dataset_ds005510,3,5.011821,7.2566533
dataset_ds005065,0,7.378258,4.8144674
dataset_ds005507,3,5.05216,7.2129636
dataset_ds004520,0,9.167562,2.817071
dataset_ds005095,0,8.899616,3.3900526
dataset_ds003987,0,10.270245,4.602815
dataset_ds003555,0,12.904968,4.333014
dataset_ds005178,0,9.381769,5.226716
dataset_ds005028,0,7.5573626,3.8785324
dataset_ds004902,0,9.322047,4.966267
dataset_ds004148,0,9.294745,4.901394
dataset_ds004166,0,9.507457,3.0785377
dataset_ds005866,0,8.198538,3.4092543
dataset_ds000247,0,7.2768917,4.9297686
dataset_ds004279,0,7.1985793,3.611325
dataset_ds003568,0,7.5474563,4.94161
dataset_ds004995,0,6.9155807,5.13443
dataset_ds002336,0,7.8140774,6.564468
