author,datasets_cited,num_datasets
"J. Cimbalnik, J. S. García-Salinas, N. Hamedi, S. Prathapagiri, L. F. Sarmiento Rivera, M. Galanina, J. Dolezal, L. Jurkovičová, P. Daniel, M. Kojan, R. Roman, M. Pail, W. Średniawa, W. Fortuna, M. Służewska-Niedźwiedź, K. Smarzewska, P. Reinacher, A. Weiser, T. Skok, T. Piernicki, A. Orzol, A. Lier, S. Seifzadeh, Bożena Kostek, A. Czyżewski, P. Tabakow, Milan Brázdil, M. Kucewicz",ds003352,1
"A. Alijanpourotaghsara, K. Mirpour, J. Choi, K. Chitta, Ahmed Shalaby, Misque Boswell, Sahil Chilukuri, Samantha L. Cohen, Ryan Byon, Mohsen Benam, Saar Kariv, Jeon Lee, Dominique Duncan, N. Pouratian",ds003352,1
"Amy E. Bouchard, Dickson Wong, W. Bogner, Rémi Gau, Yaroslav O Halchenko, Damon G Lamb, C. Markiewicz, Paul G Mullins, Guiomar Niso, G. Oeltzschner, Stefan Ross Eric Anthony Nell Julia-Katharina Kimberly Ch Appelhoff Blair Earl Galassi Hardcastle Pfarr Ray , S. Appelhoff, R. Blair, E. Earl, Anthony Galassi, Nell Hardcastle, J. Pfarr, K. Ray, Christine Rogers, T. Salo, William T. Clarke, Martin Wilson, Mark Mikkelsen",ds003352,1
"James E. Glazer, Nicholas J. Kelley, Narun Pornpattananangkul, Vijay A. Mittal, Robin Nusslock",ds003458,1
"Philippe Domenech, Sylvain Rheims, Étienne Koechlin",ds003458,1
"James F. Cavanagh, Andrew W. Bismark, Michael J. Frank, John J. B. Allen","ds003458,ds003474,ds003478,ds003517",4
"Anne Collins, Michael J. Frank",ds003458,1
"Justin Riddle, Amber L. McFerren, Flavio Frӧhlich",ds003458,1
"Thomas D. Sambrook, Jeremy Goslin",ds003458,1
"Brady D. Nelson, Ellen M. Kessel, Felicia Jackson, Greg Hajcak",ds003458,1
"Rachel Rac-Lubashevsky, Yoav Kessler","ds003458,ds003519",2
"Colin W. Hoy, Sheila C. Steiner, Robert T. Knight","ds003458,ds003474,ds003478",3
"Ellen M. Kessel, Lea R. Dougherty, Autumn Kujawa, Greg Hajcak, Gabrielle A. Carlson, Daniel N. Klein",ds003458,1
"Thomas D. Sambrook, Ben Hardwick, Andy J. Wills, Jeremy Goslin",ds003458,1
"Chad C. Williams, Thomas D. Ferguson, Cameron D. Hassall, Wande Abimbola, Olave E. Krigolson",ds003458,1
"Narun Pornpattananangkul, Robin Nusslock",ds003458,1
"Vanessa M Brown, Lusha Zhu, John M. Wang, B. Christopher Frueh, Brooks King‐Casas, Pearl H. Chiu",ds003458,1
"James F. Cavanagh, David Gregg, Gregory A. Light, Sarah L. Olguin, Richard F. Sharp, Andrew W. Bismark, Savita G. Bhakta, Neal R. Swerdlow, Jonathan L. Brigman, Jared W. Young","ds003458,ds003474,ds003478",3
"Adreanna T. M. Watts, Matthew D. Bachman, Edward M. Bernat",ds003458,1
"Ben Eppinger, Maik Walter, Shu Li",ds003458,1
"Ya Zheng, Wei Yi, Jie Cheng, Qi Li",ds003458,1
"James F. Cavanagh, Sarah L. Olguin, Jo Talledo, J Kotz, Benjamin Z. Roberts, John Nungaray, Joyce Sprock, David Gregg, Savita G. Bhakta, Gregory A. Light, Neal R. Swerdlow, Jared W. Young, Jonathan L. Brigman","ds003458,ds003474,ds003478,ds003506",4
"Andrew Chang, Jaime S. Ide, Hsin-Hung Li, Chien‐Chung Chen, Chiang‐Shan R. Li",ds003458,1
"Ann M. Iturra‐Mena, Brian D. Kangas, Oanh T. Luc, David N. Potter, Diego A. Pizzagalli",ds003458,1
"Catherine L. Reed, Audrey Siqi-Liu, Kirsten O. Lydic, Madison Lodge, Aditi Chitre, Chandlyr M. Denaro, Astrid Petropoulos, Jasmin Joshi, Cindy M. Bukach, Jane W. Couperus","ds003458,ds007052,ds007056,ds007069,ds007096,ds007137,ds007139",7
"Franziska Kirsch, Hans Kirschner, Adrian G. Fischer, Tilmann A. Klein, Markus Ullsperger","ds003458,ds003474,ds003478",3
"Shuting Mei, Qi Li, Xun Liu, Ya Zheng",ds003458,1
"Heather E. Soder, Geoffrey F. Potts",ds003458,1
"Anne C. Trutti, Sam Verschooren, Birte U. Forstmann, Russell J. Boag",ds003458,1
"Darin R. Brown, Trevor C. J. Jackson, James F. Cavanagh","ds003458,ds003506",2
"Laura M. Franke, George T. Gitchel, Robert A. Perera, Ravi L. Hadimani, Kathryn L. Holloway, William C. Walker",ds003458,1
"Darin R. Brown, Sarah Pirio Richardson, James F. Cavanagh","ds003458,ds003490,ds003509",3
"Narun Pornpattananangkul, Shannon E. Grogans, Rongjun Yu, Robin Nusslock",ds003458,1
"Adreanna T. M. Watts, Edward M. Bernat",ds003458,1
"John M. Wang, Lusha Zhu, Vanessa M. Brown, Richard De La Garza, Thomas F. Newton, Brooks King‐Casas, Pearl H. Chiu",ds003458,1
"Ali Yousefi, Angelique C. Paulk, Ishita Basu, Jonathan L. Mirsky, Darin D. Dougherty, Emad N. Eskandar, Uri T. Eden, Alik S. Widge",ds003458,1
"Michela Balconi, Laura Angioletti, Chiara Siri, N. Meucci, Gianni Pezzoli",ds003458,1
"Darin R. Brown, James F. Cavanagh","ds003458,ds003517",2
"SL Fryer, BJ Roach, Clay B. Holroyd, MP Paulus, Kaia Sargent, Alexander M. Boos, JM Ford, Daniel H. Mathalon",ds003458,1
"Ya Zheng, Mengyao Wang, Shi-Yu Zhou, Jing Xu",ds003458,1
