dataset_id,high_conf_citations,low_conf_citations,total_citations
nm000132,0,0,0
nm000138,0,0,0
nm000145,0,0,0
nm000146,0,0,0
nm000148,0,0,0
nm000149,0,0,0
nm000152,0,0,0
nm000154,0,0,0
nm000156,0,0,0
nm000160,0,0,0
nm000176,0,0,0
nm000186,0,0,0
nm000187,0,0,0
nm000191,0,0,0
on004661,0,0,0
on004849,0,0,0
on004850,0,0,0
on004852,0,0,0
on004853,0,0,0
on004854,0,0,0
on004855,0,0,0
on005028,0,0,0
on005261,0,0,0
on005262,0,0,0
on005385,0,0,0
on005420,0,0,0
on005628,0,0,0
on007175,0,0,0
on007180,0,0,0
on007181,0,0,0
on007262,0,0,0
on007315,0,0,0
on007523,0,0,0
on007524,0,0,0
on007827,0,0,0
on005752,0,0,0
ds000246,0,0,0
ds000247,0,0,0
ds000248,0,0,0
ds001785,0,0,0
ds001810,0,0,0
ds001971,0,0,0
ds002094,0,0,0
ds002218,0,0,0
ds002312,0,0,0
ds002550,0,0,0
ds002691,0,0,0
ds002712,0,0,0
ds002720,0,0,0
ds002721,0,0,0
ds002722,0,0,0
ds002723,0,0,0
ds002724,0,0,0
ds002725,0,0,0
ds002791,0,0,0
nm000218,0,0,0
nm000221,0,0,0
nm000232,0,0,0
nm000236,0,0,0
nm000238,0,0,0
nm000241,0,0,0
nm000247,0,0,0
nm000248,0,0,0
nm000253,0,1,1
nm000255,0,0,0
nm000256,0,0,0
nm000277,0,0,0
nm000301,0,0,0
nm000303,0,0,0
nm000313,0,0,0
nm000321,0,0,0
nm000326,0,0,0
nm000336,0,0,0
nm000340,0,0,0
nm000351,0,0,0
on000117,0,0,0
on001787,0,0,0
on002181,0,0,0
on002578,0,0,0
on002778,0,0,0
on003190,0,0,0
on003194,0,0,0
on003195,0,0,0
on003343,0,0,0
on003380,0,0,0
on003800,0,0,0
on003801,0,0,0
on003810,0,0,0
on003825,0,0,0
on004022,0,0,0
on004350,0,0,0
on004362,0,0,0
on004368,0,0,0
on004398,0,0,0
on004588,0,0,0
