title,author,year,datasets_bridged,num_datasets
A decision support system for automated diagnosis of Parkinson’s disease from EEG using FAWT and entropy features,"Parikha Chawla, Shashi B. Rana, Hardeep Kaur, Kuldeep Singh, Rajamanickam Yuvaraj, M. Murugappan",2022,"nm000110,nm000111,nm000113,nm000125,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on004100,on005406,on005857,on006126,on007262,on007895",19
Simultaneous stereo-EEG and high-density scalp EEG recordings to study the effects of intracerebral stimulation parameters,"Sara Parmigiani, Ezequiel Mikulan, Simone Russo, Simone Sarasso, Flavia Maria Zauli, A Rubino, Anna Cattani, Matteo Fecchio, Davide Giampiccolo, Jacopo Lanzone, Piergiorgio d’Orio, Maria Del Vecchio, Pietro Avanzini, Lino Nobili, Ivana Sartori, Marcello Massimini, Andrea Pigorini",2022,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on005261,on006126,on007262,on007895",19
Harmonizing and aligning M/EEG datasets with covariance-based techniques to enhance predictive regression modeling,"Apolline Mellot, Antoine Collas, Pedro Luiz Coelho Rodrigues, Denis A. Engemann, Alexandre Gramfort",2023,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on005261,on006126,on007262,on007895",19
Intracranial Electrode Location and Analysis in MNE-Python,"Alexander P. Rockhill, Eric B. Larson, Brittany Stedelin, Alessandra Madia Mantovani, Ahmed M. Raslan, Alexandre Gramfort, Nicole C. Swann",2022,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on005261,on006126,on007262,on007895",19
"A studyforrest extension, MEG recordings while watching the audio-visual movie “Forrest Gump”","Xingyu Liu, Yuxuan Dai, Hailun Xie, Zonglei Zhen",2022,"nm000110,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on003633,on004100,on005261,on006126,on007262,on007895",19
Do try this at home: Age prediction from sleep and meditation with large-scale low-cost mobile EEG,"Hubert Banville, Maurice Abou Jaoude, Sean U. N. Wood, Chris Aimone, Sebastian C. Holst, Alexandre Gramfort, Denis A. Engemann",2024,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on005261,on006126,on007262,on007895",19
Ear-EEG sleep monitoring data sets,"Kaare B. Mikkelsen, Yousef R. Tabar, Laura Birch, Simon L. Kappel, Christian Bech Christensen, Lars Dalskov Mosgaard, Marit Otto, Martin Christian Hemmsen, Mike Lind Rank, Preben Kidmose",2025,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000201,nm000212,nm000221,nm000247,nm000336,on004100,on004348,on005178,on005185,on005261,on006126,on007262,on007895",19
Is Limited Participant Diversity Impeding EEG-based Machine Learning?,"Philipp Bomatter, Henry Gouk",2025,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on005261,on006126,on007262,on007895",19
Simultaneous human intracerebral stimulation and HD-EEG: ground-truth for source localization methods,"Ezequiel Mikulan, S. Russo, Sara Parmigiani, Simone Sarasso, Flavia Maria Zauli, Annalisa Rubino, Pietro Avanzini, Anna Cattani, Alberto Sorrentino, Steve A. Gibbs, Francesco Cardinale, Ivana Sartori, Lino Nobili, Marcello Massimini, Andrea Pigorini",2020,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on005261,on006126,on007262,on007895",19
A large-scale MEG and EEG dataset for object recognition in naturalistic scenes,"Guohao Zhang, Ming Zhou, Shuyi Zhen, Shaohua Tang, Zheng Li, Zonglei Zhen",2025,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on005261,on006126,on007262,on007895",19
