dataset_id,dataset_name,total_citations,cumulative_citations,high_confidence_citations,avg_confidence,total_citation_impact,max_single_citation_impact,citation_years_list
ds004147,ds004147,2,0,2,0.5908502429723741,0,0.0,"[2022, 2021]"
ds004152,ds004152,2,0,2,0.5354588200896979,0,0.0,"[2024, 2023]"
ds004998,ds004998,1,0,1,0.8973290616273881,0,0.0,[2024]
ds006036,ds006036,1,0,1,0.8403160160779954,0,0.0,[2025]
ds004598,ds004598,1,0,1,0.8574117511510849,0,0.0,[2023]
ds005931,ds005931,1,0,1,0.6099179962277413,0,0.0,[2025]
ds004572,ds004572,2,0,2,0.6840207530558109,0,0.0,"[2024, 2023]"
ds004166,ds004166,1,0,1,0.6642878007888795,0,0.0,[2023]
ds005505,ds005505,1,0,1,0.9109048354625703,0,0.0,[2024]
ds005510,ds005510,1,0,1,0.906686802506447,0,0.0,[2024]
ds004408,ds004408,2,0,2,0.706380620598793,0,0.0,"[0, 0]"
ds005574,ds005574,1,0,1,0.9807209569215776,0,0.0,[2025]
ds005079,ds005079,1,0,1,0.7335196486115456,0,0.0,[2024]
ds005185,ds005185,2,0,2,0.8409061086177827,0,0.0,"[0, 2025]"
ds005356,ds005356,1,0,1,0.8239548397064209,0,0.0,[2024]
ds005343,ds005343,1,0,1,0.8470886197686196,0,0.0,[2024]
ds005415,ds005415,1,0,1,0.602075084745884,0,0.0,[2024]
ds003570,ds003570,1,0,1,0.70186030626297,0,0.0,[2021]
ds004012,ds004012,1,0,1,0.5166960945725442,0,0.0,[2024]
ds005624,ds005624,1,0,1,0.5404000353813172,0,0.0,[2025]
ds005087,ds005087,1,0,1,0.6915473636984826,0,0.0,[2024]
ds005511,ds005511,2,0,2,0.7381262507289649,0,0.0,"[2024, 2025]"
ds005169,ds005169,1,0,1,0.8676830434799195,0,0.0,[2025]
ds004859,ds004859,1,0,1,0.5155322286486627,0,0.0,[2024]
ds005345,ds005345,1,0,1,0.9389538252353669,0,0.0,[2025]
ds006065,ds006065,1,0,1,0.7134215167164804,0,0.0,[2025]
ds005410,ds005410,1,0,1,0.7945742127299309,0,0.0,[2024]
ds005506,ds005506,2,0,2,0.7420675849914552,0,0.0,"[2024, 2025]"
ds005107,ds005107,1,0,1,0.7184220921993256,0,0.0,[2024]
ds004017,ds004017,1,0,1,0.6129800802469254,0,0.0,[2023]
ds005565,ds005565,1,0,1,0.8403674125671388,0,0.0,[0]
ds005514,ds005514,1,0,1,0.9063971096277238,0,0.0,[2024]
ds004942,ds004942,1,0,1,1.0,0,0.0,[2024]
ds005509,ds005509,2,0,2,0.7449333277344705,0,0.0,"[2024, 2025]"
ds005508,ds005508,1,0,1,0.902188370525837,0,0.0,[2024]
ds004075,ds004075,1,0,1,0.5412852922081948,0,0.0,[2024]
ds005586,ds005586,2,0,1,0.8755850225687029,0,0.0,[2025]
ds005178,ds005178,2,0,2,0.8906861621141435,0,0.0,"[0, 2025]"
ds003343,ds003343,1,0,1,0.9739104205369951,0,0.0,[2021]
ds004107,ds004107,2,0,2,0.6665772901475431,0,0.0,"[2025, 2024]"
ds004483,ds004483,2,0,2,0.8956982311606407,0,0.0,"[2023, 2022]"
ds005571,ds005571,1,0,1,0.6352796164155007,0,0.0,[2024]
