dataset_name,modalities,processed_date
ds002232,"anat,fmap,func",2025-09-17T12:07:15.484409
ds002236,"anat,func",2025-09-17T12:07:15.484501
ds002270,"anat,fmap,func",2025-09-17T12:07:15.484580
ds002274,anat,2025-09-17T12:07:15.484652
ds002355,"anat,func",2025-09-17T12:07:15.484722
ds002358,anat,2025-09-17T12:07:15.484788
ds002330,"anat,dwi,fmap,func",2025-09-17T12:07:15.484857
ds002367,anat,2025-09-17T12:07:15.484933
ds002372,"anat,func",2025-09-17T12:07:15.484988
ds002374,dwi,2025-09-17T12:07:15.485052
ds002366,"anat,dwi,fmap,func",2025-09-17T12:07:15.485116
ds002393,"anat,dwi",2025-09-17T12:07:15.485183
ds002380,anat,2025-09-17T12:07:15.485240
ds002363,"anat,func",2025-09-17T12:07:15.485298
ds002422,"anat,fmap,func",2025-09-17T12:07:15.485351
ds001353,"anat,func",2025-09-17T12:07:15.485407
ds002419,"anat,fmap,func",2025-09-17T12:07:15.485459
ds002306,"anat,func",2025-09-17T12:07:15.485516
ds002411,"anat,func",2025-09-17T12:07:15.485568
ds002522,"anat,func",2025-09-17T12:07:15.485621
ds002547,"anat,func",2025-09-17T12:07:15.485679
ds002513,"anat,fmap,func",2025-09-17T12:07:15.485732
ds002543,"anat,dwi,func",2025-09-17T12:07:15.485786
ds002549,"anat,fmap,func",2025-09-17T12:07:15.485840
ds002574,"anat,fmap,func",2025-09-17T12:07:15.485895
ds002551,"anat,func",2025-09-17T12:07:15.485948
ds002578,"anat,eeg",2025-09-17T12:07:15.486001
ds002596,"anat,func",2025-09-17T12:07:15.486053
ds002683,"anat,fmap,func",2025-09-17T12:07:15.486106
ds002685,"anat,dwi,fmap,func",2025-09-17T12:07:15.486170
ds002687,"anat,func",2025-09-17T12:07:15.486228
ds002691,eeg,2026-01-14T17:14:27.398714
ds002680,eeg,2026-01-14T17:14:27.936052
ds002655,"anat,fmap,func",2025-09-17T12:07:15.486401
ds002294,"anat,fmap,func",2025-09-17T12:07:15.486454
ds002702,anat,2025-09-17T12:07:15.486507
ds002711,"anat,func",2025-09-17T12:07:15.486559
ds002715,"anat,func",2025-09-17T12:07:15.486611
ds002712,"anat,beh,derivatives,meg",2025-09-17T12:07:15.486664
ds002717,anat,2025-09-17T12:07:15.486719
ds002718,"anat,eeg",2025-09-17T12:07:15.486775
ds002732,"anat,func",2025-09-17T12:07:15.486829
ds002723,eeg,2026-01-14T17:14:28.758850
ds002720,eeg,2026-01-14T17:14:29.313447
ds002722,eeg,2026-01-14T17:14:29.858238
ds002721,eeg,2026-01-14T17:14:30.412810
ds002724,eeg,2026-01-14T17:14:30.944310
ds002725,"anat,eeg,func",2025-09-17T12:07:15.487155
ds002750,"anat,func",2025-09-17T12:07:15.487214
ds002749,func,2025-09-17T12:07:15.487270
ds002770,"anat,fmap,func",2025-09-17T12:07:15.487325
ds002734,"EEG,anat,func",2025-09-17T12:07:15.487378
ds002727,"anat,fmap,func",2025-09-17T12:07:15.487436
ds002778,"beh,eeg",2025-09-17T12:07:15.487489
ds002773,beh,2025-09-17T12:07:15.487542
ds002614,"anat,func",2025-09-17T12:07:15.487595
ds002609,"anat,calibration,fmap,func",2025-09-17T12:07:15.487648
ds002105,"anat,fmap,func",2025-09-17T12:07:15.487701
ds002776,"anat,fmap,func",2025-09-17T12:07:15.487759
ds002168,"anat,fmap,func",2025-09-17T12:07:15.487819
ds002797,"anat,func",2025-09-17T12:07:15.487871
ds002793,"anat,func",2025-09-17T12:07:15.487923
ds002295,anat,2025-09-17T12:07:15.487975
ds002743,anat,2025-09-17T12:07:15.488027
ds002737,"fmap,func",2025-09-17T12:07:15.488082
ds002733,"anat,func",2025-09-17T12:07:15.488135
ds002739,"EEG,anat,func",2025-09-17T12:07:15.488188
ds002726,anat,2025-09-17T12:07:15.488241
ds002735,"anat,func",2025-09-17T12:07:15.488293
ds002731,"anat,func",2025-09-17T12:07:15.488350
ds002809,"anat,func",2025-09-17T12:07:15.488419
ds002790,"anat,dwi,fmap,func",2025-09-17T12:07:15.488485
ds002785,"anat,dwi,func",2025-09-17T12:07:15.488537
ds002844,"anat,ieeg",2025-09-17T12:07:15.488598
ds002837,"anat,func",2025-09-17T12:07:15.488650
ds002868,anat,2025-09-17T12:07:15.488702
ds002870,anat,2025-09-17T12:07:15.488754
ds002848,"anat,func",2025-09-17T12:07:15.488809
ds002842,"anat,fmap,func",2025-09-17T12:07:15.488865
ds002841,"anat,func",2025-09-17T12:07:15.488919
ds001619,"anat,fmap,func",2025-09-17T12:07:15.488972
ds002873,func,2025-09-17T12:07:15.489025
ds001348,"anat,func",2025-09-17T12:07:15.489089
ds002886,"anat,func",2025-09-17T12:07:15.489150
ds002879,"anat,func",2025-09-17T12:07:15.489206
ds002872,"anat,fmap,func",2025-09-17T12:07:15.489262
ds002766,"fmap,func",2025-09-17T12:07:15.489317
ds002894,"anat,func",2025-09-17T12:07:15.489386
ds002896,"anat,func",2025-09-17T12:07:15.489446
ds002898,"anat,fmap,func,pet",2025-09-17T12:07:15.489501
ds002862,anat,2025-09-17T12:07:15.489554
ds002912,anat,2025-09-17T12:07:15.489606
ds002885,meg,2026-01-14T17:14:31.736964
ds002939,anat,2025-09-17T12:07:15.489732
ds002938,"anat,fmap,func",2025-09-17T12:07:15.489785
ds002940,"anat,func",2025-09-17T12:07:15.489838
ds002941,"anat,func",2025-09-17T12:07:15.489894
ds002982,anat,2025-09-17T12:07:15.489956
ds002893,eeg,2026-01-14T17:14:32.235292
ds002995,"anat,fmap,func",2025-09-17T12:07:15.490086
ds003004,eeg,2026-01-14T17:14:32.850258
ds003005,"anat,func",2025-05-11T17:18:17.870986
ds003007,func,2025-09-17T12:07:15.490214
ds002748,"anat,func",2025-09-17T12:07:15.490285
ds002799,"anat,func,ieeg",2025-09-17T12:07:15.490350
ds003008,"anat,func",2025-05-11T17:18:20.936385
ds001832,anat,2025-09-17T12:07:15.490416
ds003017,"anat,fmap,func",2025-09-17T12:07:15.490482
ds003012,"anat,fmap,func",2025-09-17T12:07:15.490548
ds002351,"anat,func",2025-09-17T12:07:15.490612
ds002994,"anat,fmap,func",2025-09-17T12:07:15.490677
ds002791,eeg,2026-01-14T17:14:33.460186
ds002833,eeg,2026-01-14T17:14:34.304781
ds003023,"anat,fmap,func",2025-09-17T12:07:15.490872
ds002905,"anat,func",2025-09-17T12:07:15.490938
ds002990,"anat,func",2025-09-17T12:07:15.491003
ds001747,"anat,func",2025-09-17T12:07:15.491067
ds003059,"anat,func",2025-09-17T12:07:15.491137
ds003047,"anat,dwi",2025-09-17T12:07:15.491209
ds000149,"anat,func",2025-09-17T12:07:15.491278
ds001415,"anat,fmap,func",2025-09-17T12:07:15.491344
ds003027,"anat,dwi",2025-09-17T12:07:15.491409
ds003076,"anat,func",2025-09-17T12:07:15.491475
ds003028,"anat,func",2025-09-17T12:07:15.491542
ds002936,anat,2025-09-17T12:07:15.491610
ds003037,"anat,fmap,func",2025-09-17T12:07:15.491677
ds003078,"anat,ieeg",2025-09-17T12:07:15.491751
ds003089,"anat,func",2025-09-17T12:07:15.491817
ds003098,anat,2025-09-17T12:07:15.491887
ds003103,"anat,func",2025-09-17T12:07:15.491953
ds003104,"anat,meg",2025-09-17T12:07:15.492021
ds003090,func,2025-09-17T12:07:15.492090
ds003085,"anat,fmap,func",2025-09-17T12:07:15.492157
ds003083,"anat,func",2025-09-17T12:07:15.492220
ds003151,"anat,func,perf",2025-09-17T12:07:15.492292
ds003145,"anat,fmap,func",2025-09-17T12:07:15.492361
ds003126,anat,2025-09-17T12:07:15.492427
ds003114,"anat,func",2025-09-17T12:07:15.492499
ds003148,"anat,func",2025-09-17T12:07:15.492564
