dataset_id,dataset_name,total_citations,cumulative_citations,high_confidence_citations,avg_confidence,total_citation_impact,max_single_citation_impact,citation_years_list
ds004574,Cross-modal Oddball Task.,1,4,1,0.6096203175187112,4,4.0,[2023]
ds004580,Simon-conflict Task.,1,4,1,0.640721202492714,4,4.0,[2023]
ds004186,HBN EO/EC task,9,4,9,0.5716058050427173,4,2.0,"[2024, 2025, 2025, 2024, 2024, 2025, 0, 2025, 0]"
ds004127,Somatosensory Cortex Rat DISC Data,1,4,1,0.5443753954768181,4,4.0,[2023]
ds004521,Changes in behavioral priority influence the accessibility of working memory content - Experiment 1,3,4,1,0.770403376221657,2,2.0,[2023]
ds004579,Interval Timing Task,1,4,1,0.5876958400011063,4,4.0,[2023]
ds004460,EEG and motion capture data set for a full-body/joystick rotation task,1,4,1,0.7671849489212038,4,4.0,[2024]
ds003810,Motor Imagery vs Rest - Low-Cost EEG System,2,4,2,0.8549809263646604,4,4.0,"[2023, 2022]"
ds004457,Electrical stimulation of temporal and limbic circuitry produces distinct responses in human ventral temporal cortex,3,4,2,0.8455432583391668,4,4.0,"[2023, 2024]"
ds003710,APPLESEED Example Dataset,1,4,1,0.869496790766716,4,4.0,[2022]
ds004295,Reward gain and punishment avoidance reversal learning,2,4,2,0.5242036716639996,4,4.0,"[2023, 0]"
ds004022,Multimodal EEG and fNIRS Biosignal Acquisition during Motor Imagery Tasks in Patients with Orthopedic Impairment,2,4,2,0.5939826504886151,4,4.0,"[2023, 2025]"
ds004520,"Changes in behavioral priority influence the accessibility of working memory content - Experiment 2
",3,4,1,0.7811010843515397,2,2.0,[2023]
ds005065,Heuristics in risky decision-making relate to preferential representation of information MEG data,2,4,1,0.7769410175085069,4,4.0,[2024]
ds004252,Rotation-tolerant representations elucidate the time course of high-level object processing,1,3,1,0.764593065083027,3,3.0,[2022]
ds004577,Dataset containing resting EEG for a sample of 103 normal infants in the first year of life,4,3,4,0.753927164003253,3,2.0,"[2024, 0, 0, 0]"
ds004011, The nature of neural object representations during dynamic occlusion,1,3,1,0.7959624391794206,3,3.0,[2022]
ds004514,Simultaneous EEG and fNIRS recordings for semantic decoding of imagined animals and tools,3,3,1,0.9202905955910684,0,0.0,[2025]
ds004642,Intraoperative recordings of medianus stimulation with low and high impedance ECoG,2,3,2,0.7052330115437508,3,3.0,"[2024, 2023]"
ds004944,Dataset of BCI2000-compatible intraoperative ECoG with neuromorphic encoding,1,3,1,0.9069292688369752,3,3.0,[2024]
ds004511,Deception_data,3,3,0,,0,,[]
ds003633, ForrestGump-MEG,1,3,1,0.8295916655659676,3,3.0,[2022]
ds004356,Subcortical responses to music and speech are alike while cortical responses diverge,2,3,2,0.8459689512848856,3,2.0,"[2022, 2024]"
ds004517,EEG recordings for semantic decoding of imagined animals and tools during auditory imagery task,3,3,1,0.8539227694272996,0,0.0,[2025]
ds004515,EEG: Alcohol imagery reinforcement learning task with light and heavy drinker participants,4,3,1,0.7039450898766518,1,1.0,[2023]
ds005340,Fundamental frequency predominantly drives talker differences in auditory brainstem responses to continuous speech,1,2,1,0.9582536494731904,2,2.0,[2024]
ds004696,HAPwave_bids,1,2,1,0.7242656546831132,2,2.0,[2023]
ds004381,Intraoperative EEG dataset during medianus-tibialis stimulation with 8 different rates,2,2,2,0.6891717168688776,2,2.0,"[2024, 2023]"
ds004117,Sternberg Working Memory,2,2,2,0.718981156051159,2,2.0,"[0, 2023]"
ds005545,Auditory naming,1,2,1,0.7924000704288483,2,2.0,[2025]
